"filename", "language", "C++", "YAML", "Swift", "JSON", "Dart", "XML", "comment", "blank", "total"
"d:\For Studing\Flutter\helping_hands\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\data\home_impl.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\accidant_location.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 6, 76
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\home.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\acc_on_map\acc_on_map_cubit.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 4, 35
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\acc_on_map\acc_on_map_state.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 6, 19
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\manager\home_list\home_list_cubit.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\accidant_location.dart", "Dart", 0, 0, 0, 0, -24, 0, 0, -3, -27
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\app_bar_title.dart", "Dart", 0, 0, 0, 0, -13, 0, 13, 2, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\bar.dart", "Dart", 0, 0, 0, 0, 4, 0, 11, 0, 15
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\distance_widget.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_button.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_buttons.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\floating_serach_button.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 3, 47
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\home_body.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\location_on_map.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 4, 32
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\lower_section.dart", "Dart", 0, 0, 0, 0, 62, 0, 0, 4, 66
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\options.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 2, 22
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\optoin_icon.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 2, 55
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\photo_view.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 5, 35
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\post_image.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 12
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\report_model.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\time_ago.dart", "Dart", 0, 0, 0, 0, -3, 0, 0, 2, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\Home\presentation\widgets\user_info_row.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 13
"d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\data\post_report_imp.dart", "Dart", 0, 0, 0, 0, -14, 0, 0, -5, -19
"d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\manager\post_report\post_report_cubit.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\manager\post_report\post_report_state.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\post_report.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\PostReport\presentation\widgets\radio_form.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\Profile.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserBotton\user_botton_cubit.dart", "Dart", 0, 0, 0, 0, -13, 0, -2, -2, -17
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserField\user_field_cubit.dart", "Dart", 0, 0, 0, 0, -16, 0, -2, 5, -13
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\Profile_info\UserField\user_field_state.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 3, 12
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\emaergancy_contacts\contacts\contacts_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\toggles\toggles_cubit.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 4, 31
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\manager\toggles\toggles_state.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 9, 31
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\profile_Contact.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\profile_information.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\userContact.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\Avatar.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, -1, 15
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\Logout.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, -1, 6
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\avatar_image.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\eContacts_row.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\edit_profile_information_row.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\first_container.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\language_row.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\notifications_row.dart", "Dart", 0, 0, 0, 0, -28, 0, 0, -3, -31
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\privacy_toggle.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 3, 51
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\profile_body.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\radio_box.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\security_row.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\theme_row.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\toggle.dart", "Dart", 0, 0, 0, 0, -30, 0, 0, -4, -34
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\upper_section.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Item_widget.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 11
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Profile_contact_body.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Search_users.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\User_Contact_body.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\add_user_contacts.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\contact_profile_info.dart", "Dart", 0, 0, 0, 0, 97, 0, 0, 0, 97
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\contact_profile_photo.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\floating_botton.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_dialog.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_model.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\ChronicDiseases_update_button.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\Chronic_Diseases_field.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\EmailText.dart", "Dart", 0, 0, 0, 0, -22, 0, 0, -4, -26
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\FactoryNumber_field.dart", "Dart", 0, 0, 0, 0, -104, 0, -2, -10, -116
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\FactoryNumber_update_botton.dart", "Dart", 0, 0, 0, 0, -31, 0, -2, -6, -39
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\NationalId_field.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\NationalId_update_botton.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\address_field.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\address_update_botton.dart", "Dart", 0, 0, 0, 0, 1, 0, -1, 0, 0
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\blood_type.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 1, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\first_container_info.dart", "Dart", 0, 0, 0, 0, -4, 0, 0, 0, -4
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\nick_name_field.dart", "Dart", 0, 0, 0, 0, -3, 0, 0, 0, -3
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\nickname_update_botton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\second_container_info.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\username_field.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\username_update_button.dart", "Dart", 0, 0, 0, 0, -9, 0, 0, 0, -9
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\data\profileImpl.dart", "Dart", 0, 0, 0, 0, 175, 0, -31, -11, 133
"d:\For Studing\Flutter\helping_hands\lib\Features\Splash\widgets\splashViewBody.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 1, 0
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\data\authImp.dart", "Dart", 0, 0, 0, 0, 48, 0, 6, 7, 61
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\LoginScreen.dart", "Dart", 0, 0, 0, 0, -7, 0, 0, 1, -6
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\RegisterScreen.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\authCubit.dart", "Dart", 0, 0, 0, 0, -21, 0, -5, -8, -34
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\authStates.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, -2, -3
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\forget_password\forget_passowrd_cubit.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\ChatBubbleSend.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\GoogleButton.dart", "Dart", 0, 0, 0, 0, -3, 0, 1, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Login_column.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Register_form.dart", "Dart", 0, 0, 0, 0, 14, 0, 2, 1, 17
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Sign_in_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Social_Auth.dart", "Dart", 0, 0, 0, 0, -28, 0, 0, -3, -31
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\appName.dart", "Dart", 0, 0, 0, 0, -18, 0, 0, -3, -21
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\email_textfield.dart", "Dart", 0, 0, 0, 0, -5, 0, -1, -1, -7
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\username_field.dart", "Dart", 0, 0, 0, 0, 41, 0, 2, 7, 50
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\data\chatImp.dart", "Dart", 0, 0, 0, 0, 40, 0, 4, 10, 54
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\ChatPage.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, -2, 12
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\manager\chatCuibt.dart", "Dart", 0, 0, 0, 0, -24, 0, 89, 18, 83
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\manager\chatStates.dart", "Dart", 0, 0, 0, 0, -2, 0, 0, 0, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\widgets\chat_list_view.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, -1, -2
"d:\For Studing\Flutter\helping_hands\lib\Features\chat\presentation\widgets\delete_chat.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\dangerMap\data\danger_map_imp.dart", "Dart", 0, 0, 0, 0, 167, 0, 0, 17, 184
"d:\For Studing\Flutter\helping_hands\lib\Features\dangerMap\presentation\danger_map.dart", "Dart", 0, 0, 0, 0, 87, 0, 0, 3, 90
"d:\For Studing\Flutter\helping_hands\lib\Features\dangerMap\presentation\manager\danger_map\danger_map_cubit.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 4, 30
"d:\For Studing\Flutter\helping_hands\lib\Features\dangerMap\presentation\manager\danger_map\danger_map_state.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 6, 19
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\data\find_contact_imp.dart", "Dart", 0, 0, 0, 0, -38, 0, -11, -8, -57
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\Location_on_map.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\contacts_location.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, -1, 8
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\manager\contact_location\contact_location_cubit.dart", "Dart", 0, 0, 0, 0, -9, 0, 0, 0, -9
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\manager\contact_location\contact_location_state.dart", "Dart", 0, 0, 0, 0, -3, 0, 0, 0, -3
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\widgets\app_bar_data.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\widgets\app_bar_image.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\widgets\contact_location_model.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\widgets\contacts_list_view.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\widgets\live_location_bar.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\For Studing\Flutter\helping_hands\lib\Features\findContact\presentation\widgets\location_list_body.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 10
"d:\For Studing\Flutter\helping_hands\lib\Features\maps\presentation\manager\Searchdir\location_Cubit.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"d:\For Studing\Flutter\helping_hands\lib\Features\maps\presentation\widgets\mapBody.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 17
"d:\For Studing\Flutter\helping_hands\lib\core\GeneralImp\accidant_detect.dart", "Dart", 0, 0, 0, 0, 100, 0, 8, 13, 121
"d:\For Studing\Flutter\helping_hands\lib\core\GeneralImp\back_gound_services.dart", "Dart", 0, 0, 0, 0, 26, 0, 5, 12, 43
"d:\For Studing\Flutter\helping_hands\lib\core\GeneralImp\notifications_controller.dart", "Dart", 0, 0, 0, 0, 298, 0, 26, 19, 343
"d:\For Studing\Flutter\helping_hands\lib\core\GeneralImp\notifications_util.dart", "Dart", 0, 0, 0, 0, 1335, 0, 82, 158, 1575
"d:\For Studing\Flutter\helping_hands\lib\core\utils\Location_last_update.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\For Studing\Flutter\helping_hands\lib\core\utils\api.dart", "Dart", 0, 0, 0, 0, 38, 0, 2, 4, 44
"d:\For Studing\Flutter\helping_hands\lib\core\utils\theme.dart", "Dart", 0, 0, 0, 0, -8, 0, 28, 17, 37
"d:\For Studing\Flutter\helping_hands\lib\core\widgets\ShowSnackBar.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\For Studing\Flutter\helping_hands\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, -66, 0, -12, -6, -84
"d:\For Studing\Flutter\helping_hands\lib\generated\intl\messages_ar.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 45
"d:\For Studing\Flutter\helping_hands\lib\generated\intl\messages_en.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 53
"d:\For Studing\Flutter\helping_hands\lib\generated\l10n.dart", "Dart", 0, 0, 0, 0, 288, 0, 36, 36, 360
"d:\For Studing\Flutter\helping_hands\lib\l10n\intl_ar.arb", "JSON", 0, 0, 0, 35, 0, 0, 0, 2, 37
"d:\For Studing\Flutter\helping_hands\lib\l10n\intl_en.arb", "JSON", 0, 0, 0, 36, 0, 0, 0, 3, 39
"d:\For Studing\Flutter\helping_hands\lib\main.dart", "Dart", 0, 0, 0, 0, 27, 0, 2, 3, 32
"d:\For Studing\Flutter\helping_hands\lib\material_app.dart", "Dart", 0, 0, 0, 0, 0, 0, -1, 0, -1
"d:\For Studing\Flutter\helping_hands\linux\flutter\generated_plugin_registrant.cc", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\For Studing\Flutter\helping_hands\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, -6, 0, 0, 0, 0, 0, -6
"d:\For Studing\Flutter\helping_hands\pubspec.yaml", "YAML", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\For Studing\Flutter\helping_hands\windows\flutter\generated_plugin_registrant.cc", "C++", -9, 0, 0, 0, 0, 0, 0, 0, -9
"Total", "-", -5, 2, -6, 71, 3038, 3, 249, 338, 3690